unit,NISP_9,Monodonta,Patella,Murex,Cerithium,Cerastoderma,Tapes,Columbella,Donax,Cyclope,NISP,Trench
176,287,0.4,3.5,5.6,3.1,0,0,2.8,0,84.6,288,FAS
177,379,0.5,0.5,0.8,6.1,0,0,1.9,0,90.2,382,FAS
178,64,0,3.1,1.6,4.7,0,0,0,0,90.6,64,FAS
179,305,0,1,0.7,18,0,0,3,0,77.3,307,FAS
180,392,0.3,1.5,2.6,30.4,0,0,1.5,0,63.7,394,FAS
181,110,0.9,0.9,27.3,16.4,0,0,0,0,54.5,110,FAS
182,422,0,2.4,28.4,11.1,0,0,1.4,0,56.7,422,FAS
183,338,0.6,1.5,4.7,55.9,0.6,0,0.3,0,36.4,339,FAS
184,729,0.7,1.5,6,54.3,0.6,0,0.7,0,36.2,734,FAS
185,283,1.1,0.7,13.1,36.7,3.5,0,0.7,0,44.2,284,FAS
186,278,0.7,1.8,23,30.3,3.6,0,0.7,0,39.9,280,FAS
187,210,1.4,0,13.3,34.9,7.6,0,0.9,0,41.9,210,FAS
188,262,0.8,0.4,5,29.7,20.6,0,1.1,0,42.4,263,FAS
189,134,1.5,2.2,7.5,28.4,18.7,0,0,0,41.7,136,FAS
190,69,0.6,4.7,6.5,20.7,20.1,0,1.8,0,45.6,69,FAS
191,276,0.4,0.7,14.5,16.7,14.9,0,1.8,0,51,278,FAS
192,370,0.3,1.4,5.7,13.5,12.2,0,1.9,0,65,370,FAS
193,24,0,0,12.5,8.3,12.5,0,0,0,66.7,24,FAS
194,60,1.7,1.7,6.6,0,3.3,0,1.7,0,85,60,FAS
195,51,0,13.7,13.7,13.7,13.7,0,13.7,0,31.5,54,FAS
196,181,2.2,8.8,0,7.2,9.9,0,1.7,0,70.2,183,FAS
197,82,2.4,2.4,0,14.8,2.4,0,7.3,0,70.7,82,FAS
198,102,0,2,0,13.7,1,0,2.9,0,80.4,102,FAS
199,45,0,8.9,2.2,2.2,0,0,0,0,86.7,46,FAS
200,8,0,75,12.5,12.5,0,0,0,0,0,8,FAS
201,4,0,25,0,25,0,0,0,0,50,4,FAS
202,25,8,32,8,12,0,0,0,0,40,25,FAS
203,57,8.8,14,12.3,21,0,0,0,0,43.9,27,FAS
204,138,10.1,32.6,0,43.5,0,0,2.9,0,10.9,139,FAS
205,61,34.4,16.4,16.4,14.8,0,0,0,0,18,61,FAS
206,132,21.2,37.1,1.5,34.9,0,0,0,0,5.3,134,FAS
207,84,19.1,34.5,1.2,27.3,1.2,0,0,0,16.7,85,FAS
208,3,0,0,0,33.3,0,0,0,0,66.7,5,FAS
209,5,0,0,20,20,0,0,20,0,40,5,FAS
101,58,0,8.6,3.5,10.3,5.2,0,8.6,0,63.8,59,H1A
102,43,0,4.7,0,9.3,4.6,0,0,0,81.4,43,H1A
103,14,0,0,0,14.3,0,0,7.1,0,78.6,14,H1A
104,9,0,0,0,0,0,0,0,0,100,11,H1A
105,15,0,6.6,6.6,0,0,0,6.7,0,80,15,H1A
106,17,0,0,0,17.7,5.9,0,0,0,76.4,17,H1A
107,23,0,0,0,8.7,26.1,0,8.7,0,56.5,23,H1A
108,7,0,0,14.3,0,28.6,0,0,0,57.1,7,H1A
109,4,0,0,0,0,0,0,0,0,100,4,H1A
110,5,0,20,0,20,0,0,40,0,20,5,H1A
111,20,0,5,0,30,0,0,0,0,65,21,H1A
112,10,0,0,0,20,0,0,20,0,60,10,H1A
113,6,0,0,0,33.3,0,0,16.7,0,50,6,H1A
114,15,0,6.7,0,6.7,0,0,6.4,0,80,15,H1A
115,3,0,33.3,0,33.3,0,0,0,0,33.4,3,H1A
116,5,0,0,0,0,0,0,20,0,80,5,H1A
117,36,0,0,0,13.9,2.8,0,2.8,0,80.5,36,H1A
118,13,0,7.7,0,30.8,0,0,0,0,61.5,13,H1A
119,13,0,15.4,0,7.7,15.4,0,0,0,61.5,13,H1A
120,23,0,8.7,4.3,13,0,0,4.4,0,69.6,23,H1A
121,8,0,12.5,0,0,12.5,0,0,0,75,8,H1A
122,15,0,0,0,0,0,0,0,0,100,15,H1A
123,7,0,14.3,0,14.3,14.3,0,0,0,57.1,7,H1A
124,39,0,2.6,2.6,7.7,2.6,0,5.1,0,79.4,39,H1A
125,27,0,11.1,11.1,11.1,0,0,0,0,66.7,27,H1A
126,15,0,0,0,6.7,0,0,6.7,0,86.6,15,H1A
127,42,0,7.1,0,4.7,0,0,2.4,0,85.8,42,H1A
128,28,0,3.6,0,14.3,7.1,0,7.1,0,67.9,28,H1A
129,64,0,1.6,3.1,15.6,1.6,0,0,0,78.1,64,H1A
130,1,0,0,0,0,0,0,0,0,100,1,H1A
131,78,0,5.1,14.1,18,2.6,0,0,0,60.2,79,H1A
